team,points,year
Manchester City,89,2023
Arsenal,84,2023
Manchester United,75,2023
Newcastle United,71,2023
Liverpool,67,2023
Brighton & Hove Albion,62,2023
Aston Villa,61,2023
Tottenham Hotspur,60,2023
Brentford,59,2023
Fulham,52,2023
Crystal Palace,45,2023
Chelsea,44,2023
Wolverhampton Wanderers,41,2023
West Ham United,40,2023
AFC Bournemouth,39,2023
Nottingham Forest,38,2023
Everton,36,2023
Leicester City,34,2023
Leeds United,31,2023
Southampton,25,2023
