team,points,year
Liverpool,56,2024
Arsenal,50,2024
Nottingham Forest,47,2024
Chelsea,43,2024
Manchester City,41,2024
Newcastle United,41,2024
AFC Bournemouth,40,2024
Aston Villa,37,2024
Fulham,36,2024
Brighton & Hove Albion,34,2024
Brentford,31,2024
Crystal Palace,30,2024
Manchester United,29,2024
Tottenham Hotspur,27,2024
West Ham United,27,2024
Everton,26,2024
Wolverhampton Wanderers,19,2024
Leicester City,17,2024
Ipswich Town,16,2024
Southampton,9,2024
