team,points,year
Manchester City,91,2024
Arsenal,89,2024
Liverpool,82,2024
Aston Villa,68,2024
Tottenham Hotspur,66,2024
Chelsea,63,2024
Newcastle United,60,2024
Manchester United,60,2024
West Ham United,52,2024
Crystal Palace,49,2024
Brighton & Hove Albion,48,2024
AFC Bournemouth,48,2024
Fulham,47,2024
Wolverhampton Wanderers,46,2024
Everton (-8),40,2024
Brentford,39,2024
Nottingham Forest (-4),32,2024
Luton Town,26,2024
Burnley,24,2024
Sheffield United,16,2024
