team,points,year
Liverpool,99,2020
Manchester City,81,2020
Manchester United,66,2020
Chelsea,66,2020
Leicester City,62,2020
Tottenham Hotspur,59,2020
Wolverhampton Wanderers,59,2020
Arsenal,56,2020
Sheffield United,54,2020
Burnley,54,2020
Southampton,52,2020
Everton,49,2020
Newcastle United,44,2020
Crystal Palace,43,2020
Brighton & Hove Albion,41,2020
West Ham United,39,2020
Aston Villa,35,2020
AFC Bournemouth,34,2020
Watford,34,2020
Norwich City,21,2020
