team,points,year
Manchester City,86,2021
Manchester United,74,2021
Liverpool,69,2021
Chelsea,67,2021
Leicester City,66,2021
West Ham United,65,2021
Tottenham Hotspur,62,2021
Arsenal,61,2021
Leeds United,59,2021
Everton,59,2021
Aston Villa,55,2021
Newcastle United,45,2021
Wolverhampton Wanderers,45,2021
Crystal Palace,44,2021
Southampton,43,2021
Brighton & Hove Albion,41,2021
Burnley,39,2021
Fulham,28,2021
West Bromwich Albion,26,2021
Sheffield United,23,2021
