team,points,year
Manchester City,93,2022
Liverpool,92,2022
Chelsea,74,2022
Tottenham Hotspur,71,2022
Arsenal,69,2022
Manchester United,58,2022
West Ham United,56,2022
Leicester City,52,2022
Brighton & Hove Albion,51,2022
Wolverhampton Wanderers,51,2022
Newcastle United,49,2022
Crystal Palace,48,2022
Brentford,46,2022
Aston Villa,45,2022
Southampton,40,2022
Everton,39,2022
Leeds United,38,2022
Burnley,35,2022
Watford,23,2022
Norwich City,22,2022
